filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch183_read12_strand.fast5	fce7c6f6-fe77-4cf8-b5a5-bc8d5504d01a	c84e1b3b351694f5ea8585eb5e8d11e136f15159	183	11.94775	1.07525	622	0.30075	622	0.7745	622	329	13.049	-0.0003	barcode02	86.33898162841797	BC02_var1	86.33898162841797	33.56666564941406	83	60	1	43	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch181_read90_strand.fast5	fe9363ac-00ea-4d32-8ec0-fbed63fa4b10	c84e1b3b351694f5ea8585eb5e8d11e136f15159	181	95.629	1.0345	533	0.36925	533	0.66525	533	331	12.38	-0.0014	barcode02	81.15254211425781	BC02_var1	81.15254211425781	34.5	90	56	1	41	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch187_read12_strand.fast5	0f329983-3014-4fa1-9f9a-bac6a08fabb7	c84e1b3b351694f5ea8585eb5e8d11e136f15159	187	20.10825	1.46975	1143	0.0385	1143	1.43125	1143	633	10.844	-0.0022	unclassified	48.766666412353516	BC92_var2	48.766666412353516	9.457627296447754	35	60	56	56	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch188_read20_strand.fast5	1321ffbf-5558-48a3-89b8-3e391142bee0	c84e1b3b351694f5ea8585eb5e8d11e136f15159	188	32.5915	1.107	713	0.2025	713	0.9045	713	408	13.828	-0.0007	barcode04	94.23332977294922	BC04_var2	94.23332977294922	62.40678024291992	27	60	0	46	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read33_strand.fast5	16d98ff3-0faf-449d-9a66-8d3ce66d6019	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	52.719	1.29325	797	0.28	797	1.01325	797	444	10.696	-0.0019	barcode01	82.94915008544922	BC01_var1	82.94915008544922	0.46666666865348816	17	59	87	61	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch183_read63_strand.fast5	18d89047-5449-491c-94e5-6ab583585884	c84e1b3b351694f5ea8585eb5e8d11e136f15159	183	69.956	1.04475	824	0.0	824	1.04475	824	324	12.999	-0.0008	unclassified	51.36666488647461	BC05_var1	51.050846099853516	51.36666488647461	0	45	0	44	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch188_read51_strand.fast5	1e41b05e-aa3f-491e-aa4e-27162e6583ca	c84e1b3b351694f5ea8585eb5e8d11e136f15159	188	70.847	1.21825	673	0.37025	673	0.848	673	373	10.846	-0.001	barcode05	91.25423431396484	BC05_var1	91.25423431396484	51.20000076293945	35	56	0	44	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read3_strand.fast5	27f25712-bbe5-4231-838a-f08313fe9bf5	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	7.198	1.17725	771	0.21775	771	0.9595	771	500	11.305	-0.002	barcode01	86.5762710571289	BC01_var1	86.5762710571289	10.966666221618652	31	56	0	44	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch185_read23_strand.fast5	2df7f98f-042c-488f-838c-db82b75c9799	c84e1b3b351694f5ea8585eb5e8d11e136f15159	185	37.937	1.0215	630	0.2245	630	0.797	630	332	11.377	-0.0022	barcode01	78.03389739990234	BC01_var2	51.46666717529297	78.03389739990234	4	59	41	59	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch184_read25_strand.fast5	330b8591-83e1-4b0c-891a-19af1e793e4c	c84e1b3b351694f5ea8585eb5e8d11e136f15159	184	31.09325	1.18075	0	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
